TP,site,N
2010,216,12
2011,216,12
2012,216,12
2013,216,12
2014,216,12
2015,216,12
2016,216,12
2017,216,12
2018,216,12
2019,216,12
2020,216,9
2021,216,9
2022,216,8
2000,217,12
2001,217,12
2002,217,12
2003,217,12
2004,217,12
2005,217,12
2006,217,12
2007,217,12
2008,217,12
2009,217,12
2010,217,12
2011,217,12
2012,217,12
2013,217,12
2014,217,12
2015,217,12
2016,217,12
2017,217,12
2018,217,5
2019,217,2
2020,217,4
2021,217,8
2022,217,3
2004,218,1
2007,218,1
2008,218,1
2010,218,1
2011,218,2
2013,218,2
2014,218,11
2015,218,10
2016,218,10
2017,218,9
2018,218,10
2019,218,7
2020,218,5
2021,218,3
2022,218,6
2000,219,12
2001,219,12
2002,219,12
2003,219,12
2004,219,12
2005,219,12
2006,219,12
2007,219,12
2008,219,12
2009,219,12
2010,219,12
2011,219,12
2012,219,12
2013,219,12
2014,219,12
2015,219,12
2016,219,12
2017,219,12
2018,219,12
2019,219,12
2020,219,8
2021,219,4
2022,219,4
2000,220,4
2001,220,12
2002,220,12
2003,220,12
2004,220,12
2005,220,12
2006,220,12
2007,220,12
2008,220,12
2009,220,12
2010,220,12
2011,220,11
2012,220,8
2013,220,12
2014,220,9
2015,220,11
2016,220,9
2017,220,12
2018,220,11
2019,220,11
2020,220,6
2021,220,4
2022,220,5
2002,221,1
2005,221,2
2007,221,6
2008,221,8
2009,221,7
2010,221,8
2011,221,1
2012,221,8
2013,221,11
2014,221,12
2015,221,11
2016,221,10
2017,221,11
2018,221,12
2019,221,12
2020,221,1
2021,221,3
2022,221,2
2000,222,12
2001,222,12
2002,222,9
2003,222,12
2004,222,11
2005,222,3
2008,222,1
2010,222,2
2011,222,3
2012,222,1
2014,222,1
2015,222,4
2016,222,2
2017,222,1
2018,222,1
2019,222,1
2020,222,2
2021,222,2
2002,224,10
2003,224,10
2004,224,12
2005,224,4
2006,224,3
2007,224,2
2008,224,1
2009,224,1
2010,224,1
2011,224,3
2012,224,5
2013,224,3
2014,224,6
2015,224,6
2016,224,3
2017,224,2
2018,224,4
2019,224,3
2020,224,2
2021,224,1
2022,224,1
2000,225,10
2001,225,8
2002,225,12
2003,225,12
2004,225,12
2005,225,12
2006,225,12
2007,225,12
2008,225,12
2009,225,12
2010,225,12
2011,225,12
2012,225,12
2013,225,12
2014,225,10
2015,225,12
2016,225,12
2017,225,12
2018,225,12
2019,225,12
2020,225,9
2021,225,11
2022,225,10
2000,226,12
2001,226,1
2004,226,1
2006,226,3
2007,226,12
2008,226,9
2009,226,3
2010,226,7
2011,226,5
2012,226,2
2013,226,3
2014,226,3
2015,226,7
2016,226,8
2017,226,10
2018,226,5
2019,226,8
2020,226,8
2021,226,7
2022,226,5
2000,227,10
2001,227,3
2002,227,1
2003,227,1
2004,227,12
2005,227,12
2006,227,12
2007,227,12
2008,227,12
2009,227,12
2010,227,12
2011,227,12
2012,227,12
2013,227,12
2014,227,12
2015,227,12
2016,227,12
2017,227,12
2018,227,12
2019,227,7
2020,227,4
2021,227,7
2022,227,7
2000,228,8
2001,228,6
2002,228,10
2003,228,8
2004,228,9
2005,228,10
2006,228,9
2007,228,11
2008,228,12
2009,228,12
2010,228,12
2011,228,11
2012,228,12
2013,228,12
2014,228,12
2015,228,11
2016,228,10
2017,228,12
2018,228,11
2019,228,10
2020,228,10
2021,228,10
2022,228,8
2000,229,12
2001,229,6
2002,229,1
2003,229,1
2004,229,12
2005,229,12
2006,229,12
2007,229,12
2008,229,12
2009,229,12
2010,229,12
2011,229,12
2012,229,12
2013,229,12
2014,229,12
2015,229,12
2016,229,12
2017,229,12
2018,229,12
2019,229,12
2020,229,5
2021,229,7
2022,229,5
2006,230,12
2007,230,12
2008,230,12
2009,230,12
2010,230,12
2011,230,12
2012,230,12
2013,230,12
2014,230,12
2015,230,12
2016,230,12
2017,230,12
2018,230,12
2019,230,12
2020,230,7
2021,230,5
2022,230,5
2000,232,2
2001,232,2
2002,232,2
2003,232,1
2004,232,4
2005,232,1
2006,232,2
2007,232,2
2008,232,5
2009,232,3
2010,232,2
2011,232,3
2012,232,1
2013,232,3
2014,232,3
